GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Famileo,jee.filter,SimpleCORSFilter,141,0,6,0,23,0,7,0,4,0
Famileo,security,PasswordEncryption,39,0,0,0,11,0,2,0,2,0
Famileo,jee.service,AccountService,19,37,3,3,5,8,3,6,1,5
Famileo,jee.service,PhotoService,46,0,2,0,11,0,7,0,6,0
Famileo,jee.service,ProfileService,5,62,0,4,1,15,1,8,1,6
Famileo,jee.service,PublicationService,50,0,2,0,12,0,8,0,7,0
Famileo,jee.exception,BusinessException,16,0,0,0,8,0,4,0,4,0
Famileo,jee.exception,SecurityException,16,0,0,0,8,0,4,0,4,0
Famileo,jee.exception,InternalException,16,0,0,0,8,0,4,0,4,0
Famileo,jee.controller,AccountController,85,0,10,0,20,0,11,0,6,0
Famileo,jee.controller,PublicationController,86,0,10,0,20,0,11,0,6,0
Famileo,jee.controller,InfoController,8,0,0,0,2,0,2,0,2,0
Famileo,jee.controller,PhotoController,16,0,0,0,3,0,3,0,3,0
Famileo,jee.controller,ProfileController,85,0,10,0,20,0,11,0,6,0
Famileo,jee.dao,PhotoDao,10,0,0,0,2,0,2,0,2,0
Famileo,jee.dao,DAO,0,35,0,0,0,9,0,6,0,6
Famileo,jee.dao,ProfileDao,13,10,0,0,3,2,1,2,1,2
Famileo,jee.dao,PublicationDao,23,0,0,0,5,0,3,0,3,0
Famileo,jee.dao,AccountDao,0,10,0,0,0,2,0,2,0,2
Famileo,jee.validator,EmailValidator,7,11,0,0,2,3,1,1,1,1
Famileo,jee.validator,PasswordValidator,7,10,0,0,2,3,1,1,1,1
Famileo,jee.model,Photo,50,3,0,0,21,1,11,1,11,1
Famileo,jee.model,Profile,18,56,0,0,8,19,5,10,5,10
Famileo,jee.model,Publication,70,3,0,0,29,1,15,1,15,1
Famileo,jee.model,Account,28,39,0,0,11,14,6,7,6,7
